t,v,m
267412032,2057,0
267412242,1957,0
267412459,1926,0
267412674,1904,0
267412882,2058,0
267413092,1961,0
267423497,1910,0
267423712,1808,0
267423920,1882,0
267424131,1857,0
267424347,1955,0
267424558,1895,0
267424768,1921,0
267424978,1968,0
267425186,1834,0
267425404,1882,0
267425613,1872,0
267425823,1840,0
267426031,1955,0
267426241,1885,0
267426457,1815,0
267436921,1967,0
267437129,1837,0
267437346,1804,0
267437555,1913,0
267437768,1885,0
267437976,1875,0
267438187,1840,0
267438403,1962,0
267438613,1874,0
267438822,1840,0
267439032,1955,0
267439240,1853,0
267439458,1817,0
267439672,1869,0
267439882,1958,0
267440090,1851,0
267450479,1851,0
267450691,1846,0
267450902,1794,0
267451110,1968,0
267451328,1866,0
267451536,1904,0
267451751,1823,0
267451959,1967,0
267452169,1873,0
267452386,1871,0
267452596,1847,0
267452808,1938,0
267453018,1968,0
267453226,1817,0
267453442,1826,0
267463828,1815,0
267464038,1943,0
267464246,1857,0
267464464,1823,0
267464677,1791,0
267464888,1938,0
267465096,1859,0
267465306,1823,0
267465522,1965,0
267465734,1834,0
267465943,1958,0
267466153,1879,0
267466369,1802,0
267466579,1827,0
267466793,1964,0
267467003,1874,0
267477386,1967,0
267477596,1807,0
267477808,1885,0
267478018,1858,0
267478226,1926,0
267478442,1879,0
267478655,1931,0
267478865,1968,0
267479074,1826,0
267479284,1902,0
267479500,1872,0
267479715,1936,0
267479923,1821,0
267480134,1889,0
267480349,1873,0
267490739,1856,0
267490948,1918,0
267491158,1968,0
267491374,1827,0
267491584,1874,0
267491796,1793,0
267492006,1939,0
267492214,1860,0
267492433,1815,0
267492647,1936,0
267492857,1967,0
267493065,1822,0
267493276,1910,0
267493492,1871,0
267493707,1966,0
267493915,1827,0
267504298,1935,0
267504514,1861,0
267504729,1968,0
267504937,1822,0
267505147,1883,0
267505364,1871,0
267505574,1814,0
267505783,1968,0
267505993,1872,0
267506201,1861,0
267506420,1964,0
267506629,1814,0
267506839,1913,0
267507047,1869,0
267507258,1821,0
267517649,1854,0
267517859,1814,0
267518068,1966,0
267518278,1864,0
267518494,1887,0
267518710,1807,0
267518918,1904,0
267519128,1858,0
267519344,1915,0
267519554,1967,0
267519767,1967,0
267519977,1867,0
267520185,1898,0
267520404,1965,0
267520612,1818,0
267520823,1899,0
267531205,1839,0
267531423,1819,0
267531637,1938,0
267531847,1981,0
267532055,1813,0
267532266,1897,0
267532482,1872,0
267532696,1963,0
267532904,1838,0
267533115,1825,0
267533331,1875,0
267533541,1854,0
267533751,1966,0
267533961,1872,0
267534169,1846,0
267544558,1905,0
267544768,1840,0
267544978,1810,0
267545186,1882,0
267545404,1858,0
267545613,1929,0
267545823,1968,0
267546031,1827,0
267546241,1864,0
267546457,1874,0
267546674,1874,0
267546882,1808,0
267547092,1948,0
267547300,1874,0
267547517,1844,0
267547730,1840,0
267558117,1875,0
267558333,1840,0
267558543,1953,0
267558753,1815,0
267558963,1918,0
267559171,1868,0
267559390,1821,0
267559598,1877,0
267559809,1853,0
267560018,1936,0
267560228,1967,0
267560442,1867,0
267560657,1875,0
267560866,1793,0
267561076,1935,0
267571466,1827,0
267571682,1829,0
267571890,1963,0
267572101,1873,0
267572309,1810,0
267572526,1919,0
267572740,1963,0
267572950,1875,0
267573159,1808,0
267573376,1934,0
267573584,1837,0
267573796,1823,0
267574004,1878,0
267574214,1853,0
267574431,1946,0
267574646,1888,0
267585094,1872,0
267585305,1962,0
267585521,1840,0
267585734,1963,0
267585942,1838,0
267586152,1815,0
267586369,1873,0
267586579,1879,0
267586793,1826,0
267587003,1931,0
267587211,1865,0
267587429,1825,0
267587642,1819,0
267587852,1895,0
267588060,1872,0
267588270,1839,0
267598707,1966,0
267598917,1872,0
267599126,1859,0
267599343,1953,0
267599552,1845,0
267599767,1873,0
267599975,1855,0
267600185,1958,0
267600402,1837,0
267600612,1871,0
267600821,1873,0
267601031,1844,0
267601239,1946,0
267601457,1943,0
267601672,1857,0
267612093,1853,0
267612301,1791,0
267612517,1930,0
267612730,1950,0
267612940,1925,0
267613148,1813,0
267613367,1936,0
267613575,1835,0
267613786,1823,0
267613995,1876,0
267614205,1851,0
267614421,1949,0
267614633,1872,0
267614841,1842,0
267615051,1954,0
267615259,1862,0
267625686,1873,0
267625894,1802,0
267626104,1949,0
267626321,1845,0
267626531,1799,0
267626745,1935,0
267626956,1968,0
267627164,1814,0
267627382,1930,0
267627591,1968,0
267627807,1862,0
267628015,1904,0
267628226,1967,0
267628442,1827,0
267628657,1851,0
267639087,1965,0
267639297,1867,0
267639514,1892,0
267639729,1798,0
267639937,1900,0
267640147,1859,0
267640364,1931,0
267640574,1877,0
267640783,1791,0
267640993,1933,0
267641201,1862,0
267641420,1812,0
267641629,1872,0
267641839,1841,0
267642048,1949,0
267642258,1876,0
267652664,1893,0
267652874,1963,0
267653082,1838,0
267653292,1821,0
267653507,1965,0
267653724,1967,0
267653932,1821,0
267654142,1874,0
267654358,1874,0
267654568,1849,0
267654777,1938,0
267654987,1967,0
267655195,1821,0
267655414,1924,0
267655622,1854,0
267666085,1837,0
267666293,1968,0
267666511,1864,0
267666724,1840,0
267666934,1791,0
267667142,1888,0
267667361,1857,0
267667569,1917,0
267667779,1965,0
267667987,1830,0
267668197,1831,0
267668414,1872,0
267668624,1827,0
267668833,1962,0
267669043,1873,0
267669251,1827,0
267679649,1919,0
267679857,1869,0
267680067,1827,0
267680275,1962,0
267680494,1873,0
267680708,1847,0
267680918,1821,0
267681126,1966,0
267681344,1870,0
267681552,1887,0
267681767,1814,0
267681975,1965,0
267682186,1871,0
267682402,1899,0
267682612,1966,0
267692992,1835,0
267693203,1834,0
267693419,1872,0
267693630,1818,0
267693839,1967,0
267694049,1871,0
267694257,1883,0
267694475,1958,0
267694688,1965,0
267694898,1872,0
267695107,1851,0
267695325,1962,0
267695533,1840,0
267695748,1875,0
267695956,1806,0
267696166,1936,0
267706621,1888,0
267706832,1962,0
267707040,1833,0
267707250,1843,0
267707467,1878,0
267707682,1904,0
267707891,1819,0
267708101,1890,0
267708309,1874,0
267708527,1843,0
267708740,1814,0
267708951,1902,0
267709159,1872,0
267709376,1840,0
267709585,1965,0
267709796,1872,0
267720228,1866,0
267720446,1830,0
267720661,1903,0
267720872,1965,0
267721080,1827,0
267721290,1845,0
267721506,1872,0
267721719,1855,0
267721927,1872,0
267722137,1841,0
267722354,1958,0
267722564,1872,0
267722773,1807,0
267722983,1944,0
267723191,1852,0
267733619,1853,0
267733828,1935,0
267734038,1967,0
267734246,1815,0
267734464,1901,0
267734677,1935,0
267734888,1966,0
267735096,1822,0
267735306,1871,0
267735522,1874,0
267735734,1840,0
267735943,1873,0
267736153,1843,0
267736370,1960,0
267736580,1917,0
267736793,1867,0
267747210,1939,0
267747426,1868,0
267747639,1941,0
267747847,1855,0
267748058,1813,0
267748266,1967,0
267748484,1872,0
267748697,1860,0
267748907,1818,0
267749115,1963,0
267749334,1867,0
267749542,1894,0
267749758,1856,0
267749966,1872,0
267750177,1840,0
267760613,1965,0
267760824,1872,0
267761032,1843,0
267761242,1956,0
267761458,1852,0
267761674,1868,0
267761882,1887,0
267762092,1961,0
267762300,1871,0
267762517,1830,0
267762730,1815,0
267762940,1904,0
267763149,1870,0
267763367,1819,0
267763576,1872,0
267763787,1838,0
267774188,1840,0
267774406,1861,0
267774615,1869,0
267774826,1828,0
267775034,1962,0
267775244,1872,0
267775460,1791,0
267775676,1791,0
267775885,1902,0
267776095,1859,0
267776303,1937,0
267776522,1967,0
267776732,1942,0
267776943,1927,0
267777151,1820,0
267787611,1829,0
267787820,1877,0
267788030,1855,0
267788239,1933,0
267788457,1967,0
267788667,1909,0
267788877,1965,0
267789085,1834,0
267789295,1811,0
267789511,1967,0
267789726,1955,0
267789934,1846,0
267790145,1809,0
267790361,1968,0
267790571,1857,0
267790779,1914,0
267801170,1963,0
267801386,1823,0
267801596,1874,0
267801808,1798,0
267802018,1938,0
267802226,1861,0
267802444,1827,0
267802658,1827,0
267802868,1952,0
267803077,1847,0
267803287,1812,0
267803503,1936,0
267803716,1811,0
267803924,1959,0
267804134,1861,0
267804351,1935,0
267814777,1809,0
267814985,1966,0
267815196,1863,0
267815412,1930,0
267815623,1875,0
267815832,1791,0
267816042,1937,0
267816250,1856,0
267816468,1819,0
267816680,1825,0
267816891,1858,0
267817099,1872,0
267817309,1854,0
267817525,1927,0
267817739,1791,0
267828147,1815,0
267828366,1937,0
267828574,1839,0
267828786,1818,0
267828994,1885,0
267829204,1857,0
267829420,1931,0
267829631,1874,0
267829840,1793,0
267830050,1935,0
267830258,1853,0
267830476,1818,0
267830691,1939,0
267830901,1936,0
267831109,1813,0
267831328,1919,0
267841755,1878,0
267841965,1856,0
267842173,1924,0
267842392,1967,0
267842600,1806,0
267842811,1934,0
267843019,1858,0
267843229,1819,0
267843445,1966,0
267843660,1921,0
267843868,1867,0
267844079,1827,0
267844287,1958,0
267844505,1873,0
267844716,1959,0
267855146,1875,0
267855362,1812,0
267855573,1962,0
267855781,1839,0
267855992,1821,0
267856200,1876,0
267856418,1845,0
267856627,1963,0
267856838,1872,0
267857046,1807,0
267857256,1955,0
267857472,1843,0
267857685,1954,0
267857893,1844,0
267858104,1791,0
267858320,1878,0
267868737,1879,0
267868945,1873,0
267869155,1839,0
267869372,1958,0
267869582,1815,0
267869794,1875,0
267870004,1851,0
267870213,1939,0
267870431,1966,0
267870644,1872,0
267870854,1840,0
267871063,1952,0
267871273,1873,0
267871489,1795,0
267871702,1877,0
267882140,1939,0
267882358,1923,0
267882566,1811,0
267882776,1914,0
267882985,1872,0
267883195,1835,0
267883411,1955,0
267883621,1872,0
267883830,1813,0
267884040,1949,0
267884248,1855,0
267884466,1819,0
267884680,1904,0
267884890,1963,0
267885099,1834,0
267885309,1794,0
267895714,1856,0
267895925,1811,0
267896133,1968,0
267896351,1860,0
267896559,1913,0
267896770,1966,0
267896978,1821,0
267897189,1875,0
267897405,1872,0
267897615,1838,0
267897823,1953,0
267898033,1877,0
267898242,1809,0
267898460,1924,0
267898674,1936,0
267909138,1823,0
267909355,1965,0
267909565,1871,0
267909773,1891,0
267909983,1960,0
267910192,1838,0
267910409,1810,0
267910617,1881,0
267910828,1855,0
267911036,1921,0
267911246,1966,0
267911462,1831,0
267911677,1867,0
267911885,1877,0
267912096,1958,0
267912304,1827,0
267922696,1946,0
267922904,1856,0
267923115,1814,0
267923331,1967,0
267923541,1862,0
267923751,1957,0
267923961,1872,0
267924169,1791,0
267924388,1944,0
267924596,1831,0
267924809,1947,0
267925017,1854,0
267925227,1813,0
267925442,1951,0
267925658,1911,0
267936045,1873,0
267936256,1845,0
267936472,1934,0
267936685,1841,0
267936893,1946,0
267937103,1887,0
267937320,1791,0
267937530,1936,0
267937740,1791,0
267937951,1934,0
267938159,1861,0
267938376,1830,0
267938585,1897,0
267938796,1856,0
267939004,1931,0
267939215,1965,0
267949604,1795,0
267949814,1939,0
267950022,1861,0
267950232,1822,0
267950449,1965,0
267950664,1935,0
267950872,1859,0
267951082,1821,0
267951290,1926,0
267951507,1965,0
267951722,1855,0
267951932,1814,0
267952140,1966,0
267952358,1872,0
267952566,1840,0
267962957,1952,0
267963165,1849,0
267963384,1791,0
267963592,1903,0
267963807,1968,0
267964016,1833,0
267964226,1843,0
267964442,1871,0
267964657,1967,0
267964866,1826,0
267965076,1869,0
267965284,1872,0
267965502,1837,0
267965713,1863,0
267965924,1825,0
267966132,1963,0
267976515,1867,0
267976730,1820,0
267976940,1894,0
267977148,1872,0
267977367,1827,0
267977575,1872,0
267977787,1846,0
267977995,1943,0
267978205,1936,0
267978421,1811,0
267978633,1958,0
267978841,1845,0
267979051,1791,0
267979259,1967,0
267979477,1863,0
267989864,1793,0
267990074,1936,0
267990283,1854,0
267990501,1809,0
267990713,1811,0
267990924,1922,0
267991132,1870,0
267991350,1830,0
267991558,1960,0
267991769,1871,0
267991977,1847,0
267992187,1955,0
267992404,1836,0
267992614,1847,0
267992822,1875,0
267993032,1849,0
268003423,1966,0
268003639,1968,0
268003847,1821,0
268004057,1903,0
268004266,1872,0
268004484,1833,0
268004697,1813,0
268004907,1904,0
268005115,1872,0
268005334,1825,0
268005542,1966,0
268005758,1956,0
268005966,1845,0
268006176,1791,0
268006393,1911,0
268016776,1846,0
268016984,1942,0
268017194,1967,0
268017410,1814,0
268017621,1930,0
268017829,1862,0
268018039,1823,0
268018248,1965,0
268018466,1872,0
268018680,1826,0
268018891,1875,0
268019099,1872,0
268019309,1840,0
268019525,1947,0
268019740,1806,0
268019948,1881,0
268030342,1931,0
268030550,1865,0
268030766,1872,0
268030974,1822,0
268031184,1951,0
268031401,1840,0
268031611,1831,0
268031820,1874,0
268032030,1849,0
268032238,1935,0
268032456,1968,0
268032666,1905,0
268032877,1965,0
268033085,1830,0
268033295,1797,0
268043683,1876,0
268043893,1855,0
268044102,1925,0
268044317,1904,0
268044526,1871,0
268044742,1870,0
268044950,1874,0
268045161,1960,0
268045377,1841,0
268045587,1909,0
268045797,1869,0
268046007,1826,0
268046215,1965,0
268046433,1870,0
268046647,1854,0
268046857,1809,0
268057241,1814,0
268057459,1886,0
268057672,1903,0
268057882,1963,0
268058090,1825,0
268058301,1894,0
268058517,1870,0
268058732,1963,0
268058940,1827,0
268059150,1847,0
268059367,1872,0
268059577,1791,0
268059787,1904,0
268059997,1857,0
268060205,1915,0
268070595,1856,0
268070806,1924,0
